Tên doanh nghiệp,Mã cổ phiếu
CTCP Tập Đoàn Tiên Sơn Thanh Hóa,AAT
Cty Cổ phần Damsan,ADS
CTCP 28.1,AG1
CTCP Giày Bình Định - UPCOM,BDF
CTCP May mặc Bình Dương,BDG
CTCP May Bình Minh,BMG
CTCP Dệt may – Đầu tư – Thương mại Thành Công - HOSE,CTM
CTCP Tổng Công ty May Đáp Cầu,DCG
Cty Cổ phần Dệt may 7,DM7
Cty Cổ phần Everpia,EVE
CTCP Đầu tư Dệt may G.Home - UPCOM,G20
Cty Cổ phần Sản xuất Kinh doanh và XNK Bình Thạnh,GIL
Cty Cổ phần Garmex Sài Gòn,GMC
CTCP Dệt may 29/3 - UPCOM,HCB
CTCP Dệt May Huế - UPCOM,HDM
CTCP Thương mại dịch vụ Thời trang Hà Nội - UPCOM,HFS
Cty Cổ phần May Hữu Nghị,HNI
Tổng CTCP Dệt may Hà Nội - UPCOM,HSM
Tổng CTCP Dệt may Hòa Thọ - UPCOM,HTG
Tổng Công ty May Hưng Yên - CTCP,HUG
Cty Cổ phần Mirae,KMR
CTCP Giày da và May mặc Xuất khẩu (LEGAMEX) - UPCOM,LGM
Tổng Công ty May 10 – CTCP - UPCOM,M10
CTCP Tổng Công ty May Đồng Nai - UPCOM,MDN
Tổng Công ty Đức Giang - CTCP,MGG
CTCP Dệt Minh Khai - UPCOM,MKT
Tổng Công ty May Nhà Bè – CTCP - UPCOM,MNB
CTCP Tập đoàn MPT,MPT
Cty Cổ phần May Sông Hồng,MSH
Tổng CTCP Dệt may Nam Định - UPCOM,NDT
CTCP May Nam Định - UPCOM,NJC
CTCP May Phú Thịnh – Nhà Bè - UPCOM,NPS
CTCP Dệt – May Nha Trang - UPCOM,NTT
CTCP May Xuất khẩu Phan Thiết - UPCOM,PTG
CTCP Đầu tư Phát triển Sài Gòn 3 Group,SGI
CTCP Sợi Phú Bài - UPCOM,SPB
CTCP Giáo dục G Sài Gòn,SSF
CTCP Sợi Thế Kỷ - HOSE,STK
Cty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,TCM
CTCP Đầu tư và Phát triển TDT,TDT
CTCP Vải sợi May mặc Miền Bắc,TET
CTCP Tứ Hải Hà Nam,THM
CTCP May Quốc tế Thắng Lợi,TLI
Cty Cổ phần Đầu tư và Thương mại TNG,TNG
CTCP May Thanh Trì,TTG
Tổng Công ty Việt Thắng,TVT
CTCP – Viện nghiên cứu Dệt may - UPCOM,VDM
CTCP Vinatex Đà Nẵng,VDN
Tổng CTCP May Việt Tiến - UPCOM,VGG
Tập đoàn Dệt may Việt Nam - UPCOM,VGT
CTCP X20,X20
CTCP 26,X26
