Tên doanh nghiệp,Mã cổ phiếu
CTCP Hợp Nhất,AAH
CTCP 397,BCB
CTCP XNK than - Vinacomin,CLM
CTCP Than Cao Sơn - TKV,CST
CTCP Than Hà Lầm – Vinacomin - HNX,HLC
CTCP Đầu tư Thương mại và Dịch vụ – Vinacomin,ITS
CTCP Than Mông Dương – Vinacomin - HNX,MDC
CTCP Than Núi Béo – Vinacomin - HNX,NBC
CTCP Than Cọc Sáu – Vinacomin - HNX,TC6
CTCP Than Đèo Nai – VinacominCTCP Than Đèo Nai – Vinacomin - HNX,TDN
CTCP Than Hà Tu – Vinacomin - HNX,THT
CTCP Kinh doanh Than Miền Bắc – Vinacomin - HNX,TMB
CTCP Than Vàng Danh – Vinacomin - HNX,TVD
CTCP Vận tải và Chế biến Than Đông Bắc,VDB
