Tên doanh nghiệp,Mã cổ phiếu
CTCP Tiên Sơn Thanh Hóa,AAT
CTCP Đầu tư Nhãn Hiệu Việt,ABR
CTCP Đầu tư và Khoáng sản FLC STONE,AMD
CTCP Dịch vụ Hàng không Taseco,AST
CTCP Dịch vụ Bến Thành,BSC
CTCP Thương mại – Dịch vụ Bến Thành - HSX,BTT
CTCP Xuất nhập khẩu và đầu tư Chợ Lớn (Cholimex),CLX
CTCP Thương nghiệp Cà Mau - HSX,CMV
CTCP Vật tư – Xăng dầu,COM
CTCP Phục vụ mai táng Hải Phòng,CPH
CTCP City Auto - HSX,CTF
CTCP Thế giới số - HSX,DGW
CTCP Bán lẻ Kỹ thuật số FPT - HSX,FRT
CTCP Petec Bình Định,GCB
CTCP Dịch vụ Ô tô Hàng Xanh - HSX,HAX
CTCP Sản xuất – Xuất nhập khẩu Thanh Hà,HFX
CTCP Thương mại Hóc Môn,HTC
CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,KLF
CTCP Thương mại Kiên Giang,KTC
CTCP Thương mại – Đầu tư Long Biên,LBC
CTCP Landmark Holding,LMH
CTCP Tập đoàn Masan - HSX,MSN
CTCP Đầu tư Thế giới Di động - HSX,MWG
Tổng CTCP Dịch vụ Tổng hợp Dầu khí,PET
CTCP Xuất nhập khẩu Petrolimex,PIT
CTCP PIV,PIV
CTCP Thương mại Phú Nhuận,PNG
CTCP Vàng bạc Đá quý Phú Nhuận - HSX,PNJ
CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,PSD
CTCP Nhiên liệu Sài Gòn,SFC
CTCP Đầu tư Phát triển Sài Gòn Co.op,SID
CTCP Siêu Thanh,ST8
CTCP Thương mại dịch vụ Tràng Thi,T12
CTCP Xuất nhập khẩu Tổng hợp I Việt Nam,TH1
CTCP Thanh Hoa – Sông Đà,THS
CTCP Thương Mại Xuất Nhập Khẩu Thủ Đức,TMC
CTCP Phân phối Top One,TOP
CTCP Thương mại và Đầu tư Vi na ta ba,VTJ
CTCP Hàng tiêu dùng Masan - UPCOM,MCH
