Tên doanh nghiệp,Mã cổ phiếu
CTCP Tập đoàn Dầu khí An Pha - HOSE,ASP
CTCP Lọc Hóa dầu Bình Sơn - UPCOM,BSR
CTCP CNG Việt Nam - HOSE,CNG
Tổng Công ty Khí Việt Nam-CTCP - HOSE,GAS
CTCP Vận tải Sản phẩm Khí Quốc tế,GSP
CTCP Xăng dầu HFC - UPCOM,HFC
CTCP Điện lực Dầu khí Nhơn Trạch 2 - HOSE,NT2
Tổng Công ty Dầu Việt Nam – CTCP - UPCOM,OIL
CTCP Điện lực Dầu khí Bắc Kạn - UPCOM,PBK
CTCP Đầu tư và Phát triển Gas Đô Thị - HNX,PCG
Công ty TNHH MTV Thương mại Dầu khí Đồng Tháp - UPCOM,PDT
CTCP Vận tải dầu Phương Đông Việt - UPCOM,PDV
Tổng Công ty Thương mại Kỹ thuật và Đầu tư – CTCP - UPCOM,PEG
CTCP Thiết bị Xăng dầu Petrolimex - UPCOM,PEQ
Tổng Công ty Gas Petrolimex-CTCP - HOSE,PGC
CTCP Phân phối Khí thấp áp Dầu khí Việt Nam - HOSE,PGD
CTCP Kinh doanh Khí Miền Nam - HNX,PGS
CTCP Đầu tư Điện lực 3 - HNX,PIC
CTCP Thương mại và Vận tải Petrolimex Hà Nội - HNX,PJC
Tổng Công ty Hóa dầu Petrolimex – CTCP,PLC
Tập đoàn Xăng dầu Việt Nam - HOSE,PLX
CTCP Đầu tư và Sản xuất Petro Miền Trung - HOSE,PMG
CTCP Xăng dầu Dầu khí Thái Bình - UPCOM,POB
"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC - UPCOM",POS
CTCP Xăng dầu Dầu khí Vũng Áng - UPCOM,POV
Tổng Công ty Điện lực Dầu khí Việt Nam – CTCP - HOSE,POW
CTCP Petro Times - HNX,PPT
CTCP Xăng dầu Dầu khí Phú Yên - HNX,PPY
CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC - UPCOM,PQN
CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn - HNX,PSC
CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu - HSX,PSH
CTCP Cảng dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa - UPCOM,PSN
CTCP Vận tải và Dịch vụ Petrolimex Hà Tây - UPCOM,PTH
CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng - HNX,PTS
CTCP Vận tải Dầu khí Đông Dương - UPCOM,PTT
CTCP Thương mại Dầu khí - UPCOM,PTV
CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh - UPCOM,PTX
CTCP Bọc Ống Dầu khí Việt Nam - HNX,PVB
Tổng Công ty Hóa chất và Dịch vụ Dầu khí – CTCP (PVChem),PVC
Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí - HOSE,PVD
Tổng Công ty Tư vấn thiết kế Dầu khí - UPCOM,PVE
CTCP Kinh doanh LPG Việt Nam - HNX,PVG
CTCP Máy – Thiết bị Dầu khí - UPCOM,PVM
CTCP Vận tải dầu khí Thái Bình Dương - UPCOM,PVP
Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam - HNX,PVS
Tổng CTCP Vận tải Dầu khí - HOSE,PVT
CTCP Đầu tư và Phát triển Điện miền Trung - HNX,SEB
CTCP Phát triển năng lượng Sơn Hà - HNX,SHE
CTCP Đầu tư TDG GLOBAL - HSX,TDG
CTCP Dịch vụ biển Tân Cảng - UPCOM,TOS
CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu - UPCOM,VMG
CTCP Vận tải Xăng dầu VITACO - HOSE,VTO
