Tên doanh nghiệp,Mã cổ phiếu
CTCP Xây dựng 47 - HSX,C47
CTCP Tập đoàn CIENCO4 - UPCOM,C4G
CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh - HSX,CII
CTCP Xây dựng COTECCONS - HSX,CTD
CTCP Đầu tư Phát triển Cường Thuận IDICO - HSX,CTI
Tổng CTCP Công trình Viettel - HSX,CTR
CTCP Tập đoàn Đạt Phương - HSX,DPG
CTCP Tập đoàn Everland - HSX,EVG
CTCP FECON - HSX,FCN
Tổng CTCP G36 - UPCOM,G36
CTCP Tập đoàn Xây dựng Hòa Bình - HSX,HBC
CTCP Đầu tư Hạ tầng Giao thông Đèo Cả - HSX,HHV
CTCP Hưng Thịnh Incons - HSX,HTN
CTCP Xây lắp Thừa Thiên Huế - HSX,HUB
CTCP Tasco - HNX,HUT
CTCP Licogi 16 - HSX,LCG
CTCP Đầu tư MST - HNX,MST
CTCP Tập đoàn đầu tư Din Capital - HNX,PDB
CTCP Xây dựng FLC FAROS - HSX,ROS
CTCP SCI - HNX,S99
CTCP SCI E&C - HNX,SCI
CTCP Xây dựng số 9 - HNX,VC9
Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam - HSX,VCG
