Tên doanh nghiệp,Mã cổ phiếu
CTCP Xuất nhập khẩu Hàng không,ARM
CTCP Tập đoàn ASG,ASG
CTCP Dịch vụ Hàng không Taseco,AST
CTCP Dịch vụ Bến Thành,BSC
CTCP Cảng An Giang,CAG
CTCP Cảng Cửa Cấm Hải Phòng - UPCOM,CCP
CTCP Cảng Cam Ranh - UPCOM,CCR
CTCP Cảng Cần Thơ - UPCOM,CCT
CTCP Cảng Đà Nẵng - HNX,CDN
CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,CIA
CTCP Cảng Cát Lái - HOSE,CLL
CTCP Cảng Chân Mây - UPCOM,CMP
CTCP Hàng Hải Đông Đô - UPCOM,DDM
CTCP Tập đoàn Năng lượng Tái tạo Việt Nam - HNX,DL1
CTCP Logistics Cảng Đà Nẵng - UPCOM,DNL
CTCP Quản lý Đường sông Số 3,DS3
CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng - UPCOM,DVC
CTCP Đầu tư và Phát triển Cảng Đình Vũ - HOSE,DVP
CTCP Cảng Đoạn Xá - HNX,DXP
CTCP Đầu tư Dịch vụ và Phát triển Xanh,GIC
CTCP Gemadept - HOSE,GMD
CTCP Vận tải Sản Phẩm Khí Quốc tế - HOSE,GSP
CTCP Thuận Thảo - UPCOM,GTT
CTCP Vận tải và Xếp dỡ Hải An - HOSE,HAH
CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng - HNX,HCT
CTCP Hưng Đạo Container - UPCOM,HDO
CTCP Hoàng Hà - HNX,HHG
CTCP Hải Minh,HMH
CTCP Vận tải Đường sắt Hà Nội - UPCOM,HRT
CTCP Thương mại Hóc Môn - HNX,HTC
CTCP Vận tải Hà Tiên - HOSE,HTV
Tổng Công ty Hàng không Việt Nam - CTCP,HVN
CTCP ICD Tân Cảng - Long Bình,ILB
CTCP ICD Tân Cảng Sóng Thần - UPCOM,IST
CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải - HNX,MAC
CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,MAS
CTCP MHC - HOSE,MHC
Tổng công ty Hàng Hải Việt Nam,MVN
CTCP Cảng Nghệ Tĩnh - HNX,NAP
CTCP Dịch vụ Hàng hóa Nội Bài,NCT
CTCP Vận tải Khí và Hóa chất Việt Nam - HNX,PCT
CTCP Cảng Đồng Nai - HOSE,PDN
CTCP PGT Holdings - HNX,PGT
CTCP Cảng Hải Phòng - HNX,PHP
CTCP Thương mại và Vận tải Petrolimex Hà Nội - HNX,PJC
CTCP Vận tải Xăng dầu đường Thủy Petrolimex - HOSE,PJT
CTCP Logistics Portserco - HNX,PRC
CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn - HNX,PSC
CTCP Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa - UPCOM,PSN
CTCP Cảng Dịch vụ Dầu khí Đình Vũ - UPCOM,PSP
CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng - HNX,PTS
CTCP Vận tải Dầu khí Thái Bình Dương - UPCOM,PVP
Tổng CTCP Vận tải Dầu khí - HOSE,PVT
CTCP Tân Cảng Quy Nhơn - UPCOM,QSP
CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn - UPCOM,SAC
CTCP Dịch vụ Hàng hóa Sài Gòn,SCS
CTCP Đại lý Vận tải SAFI - HOSE,SFI
CTCP Phục vụ Mặt đất Sài Gòn,SGN
CTCP Cảng Sài Gòn - UPCOM,SGP
CTCP Tàu cao tốc Superdong - Kiên Giang,SKG
CTCP Vận tải biển Hải Âu - UPCOM,SSG
CTCP Kho vận Miền Nam,STG
CTCP Vận chuyển Sài Gòn Tourist - UPCOM,STT
Tổng CTCP Đường Sông Miền Nam,SWC
CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng - HOSE,TCL
CTCP Vận tải Đa phương thức Duyên Hải - HOSE,TCO
CTCP Cáp treo Núi Bà Tây Ninh,TCT
CTCP Kho Vận Tân Cảng - UPCOM,TCW
CTCP Dịch vụ Vận tải và Thương mại - HNX,TJC
CTCP Transimex - HOSE,TMS
CTCP Cảng Thị Nại - UPCOM,TNP
CTCP Transimex Logistics,TOT
CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung,TTZ
CTCP Vinafco - UPCOM,VFC
CTCP Vận tải và Thuê tàu - UPCOM,VFR
CTCP Cảng Rau Quả - HNX,VGP
CTCP Vận tải Xăng dầu Vipco - HOSE,VIP
CTCP Hàng không Vietjet,VJC
CTCP Phát triển Hàng Hải,VMS
CTCP Vận tải Biển Vinaship - UPCOM,VNA
CTCP Vinafreight,VNF
CTCP Logistics Vinalink - HOSE,VNL
CTCP Ánh Dương Việt Nam - HOSE,VNS
CTCP Giao nhận Vận tải Ngoại thương - HNX,VNT
CTCP Vận tải Biển Việt Nam) - HOSE,VOS
CTCP Đại lý Hàng hải Việt Nam,VSA
CTCP Container Việt Nam - HOSE,VSC
CTCP Container Miền Trung,VSM
CTCP Vận tải Xăng dầu Vitaco - HOSE,VTO
CTCP Bến xe Miền Tây,WCS
