Tên doanh nghiệp,Mã cổ phiếu
Tập đoàn Công nghiệp cao su Việt Nam,GVR
Công ty CP cao su Hòa Bình,HRC
CTCP cao su Phước Hòa,PHR
Công ty CP Công nghiệp và xuất nhập khẩu cao su,RBC
Công ty CP cao su Bến Thành,BRC
Công ty CP cao su Bà Rịa,BRR
Công ty CP Xây dựng cao su Đồng Nai,CDR
CTCP Công nghiệp Cao su Miền Nam,CSM
Công ty CP Cao su Đồng Phú,DPR
Công ty CP cao su Đà Nẵng,DRC
Công ty CP cao su Đắk Lắk,DRG
Công ty CP Đầu tư cao su Đăk Lăk,DRI
Công ty CP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,HNG
Công ty CP Cao su Hà Nội,HRG
Công ty CP Cao su Công nghiệp,IRC
Công ty CP xây dựng Địa ốc cao su,RCD
Công ty CP cao su Tân Biên,RTB
Công ty CP Cao su Sông Bé,SBR
CTCP Cao su Sao Vàng,SRC
Công ty CP cao su Thống Nhất,TNC
Công ty CP Cao su Tây Ninh,TRC
Công ty CP cao su Quảng Nam,VHG
Công ty CP Phát triển đô thị và khu công nghiệp cao su Việt Nam,VRG
