Tên doanh nghiệp,Mã cổ phiếu
CTCP Đầu tư Nhãn hiệu Việt,ABR
CTCP Mỹ thuật và Truyền thông,ADC
CTCP Sách và Thiết bị Bình Định,BDB
CTCP Sách và Thiết bị Trường học Đà Nẵng,BED
CTCP Sách và Thiết bị Bình Thuận,BST
CTCP COKYVINA,CKV
CTCP tập đoàn công nghệ CMC,CMG
CTCP Công nghệ mạng và truyền thông,CMT
Tổng CTCP Công trình Viettel,CTR
CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,DAD
CTCP Sách Giáo dục tại Thành phố Đà Nẵng,DAE
CTCP Đầu tư Sao Thăng Long,DST
CTCP Sách Giáo dục tại Thành phố Hà Nội,EBS
CTCP Tập Đoàn ECI,ECI
CTCP Đầu tư và Phát triển Giáo dục Hà Nội,EID
CTCP đầu tư phát triển công nghệ điện tử – viễn thông,ELC
CTCP FPT,FPT
CTCP Kỹ thuật Điện Toàn cầu,GLT
CTCP Sách Đại học - Dạy nghề,HEV
CTCP tập đoàn HIPT,HIG
CTCP dịch vụ công nghệ tin học HPT,HPT
CTCP viễn thông – tin học bưu điện,ICT
CTCP Công nghệ Tiên Phong,ITD
CTCP Kasati,KST
CTCP Sách và Thiết bị Trường học Long An,LBE
CTCP Công nghệ One,ONE
CTCP Tin học Viễn thông Petrolimex,PIA
CTCP thiết bị Bưu Điện,POT
CTCP Sách và Thiết bị Trường học Quảng Ninh,QST
CTCP Sam Holdings,SAM
CTCP công nghệ Sao Bắc Đẩu,SBD
CTCP Đầu tư và Phát triển Giáo dục Phương Nam,SED
CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,SGD
CTCP công nghệ viễn thông Sài Gòn,SGT
CTCP Sách và Thiết bị Giáo dục Miền Nam,SMN
CTCP Sara Việt Nam,SRA
CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,STC
CTCP In sách giáo khoa tại Thành phố Hà Nội,TPH
CTCP Viễn Liên,UNI
Tổng CTCP điện tử và tin học Việt Nam,VEC
CTCP Viễn thông VTC,VTC
CTCP Viễn thông điện tử Vinacap,VTE
