Tên doanh nghiệp,Mã cổ phiếu
Tổng Công ty Cảng Hàng không Việt Nam - UPCOM,ACV
CTCP Xuất nhập khẩu Hàng không,ARM
ctcp Dịch vụ Bưu chính Interserco - IPX,ASG
CTCP Dịch vụ Hàng không Taseco,AST
CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,CIA
Tổng Công ty Hàng không Việt Nam - HOSE,HVN
CTCP Dịch vụ Hàng không Sân bay Đà Nẵng - HNX,MAS
CTCP Dịch vụ Hàng không Sân bay Nội Bài - UPCOM,NAS
CTCP Suất ăn Hàng không Nội Bài - UPCOM,NCS
CTCP Dịch vụ Hàng hóa Nội Bài - HOSE,NCT
CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất - UPCOM,SAS
CTCP Dịch vụ Hàng hóa Sài Gòn,SCS
CTCP Phục vụ Mặt đất Sài Gòn - HOSE,SGN
CTCP Hàng không Vietjet - HOSE,VJC
