Tên doanh nghiệp,Mã cổ phiếu
CTCP Thủy sản Mekong - HOSE,AAM
CTCP Xuất nhập khẩu Thủy sản Bến Tre - HOSE,ABT
CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang - HOSE,ACL
CTCP Xuất nhập khẩu Thủy sản An Giang - UPCOM,AGF
CTCP Nam Việt - HSX,ANV
CTCP Kinh doanh Thủy Hải Sản Sài Gòn - UPCOM,APT
CTCP Thủy sản Bạc Liêu - HNX,BLF
CTCP Chế biến và Xuất nhập khẩu Thủy sản CADOVIMEX - UPCOM,CAD
CTCP Thủy sản Cà Mau - UPCOM,CAT
CTCP Xuất nhập khẩu Thủy sản Cần Thơ - UPCOM,CCA
CTCP Camimex Group - HOSE,CMX
CTCP Camimex Group - HOSE,CMX
CTCP Nam Việt - HSX,DAT
CTCP Thực phẩm Sao Ta,FMC
Trung tâm Giống Thủy sản Quảng Nam - UPCOM,GQN
CTCP Đầu tư Thương mại Thủy Sản - UPCOM,ICF
CTCT Đầu tư và phát triển đa quốc gia IDI,IDI
CTCP Chế biến Thủy sản Xuất khẩu Minh Hải - UPCOM,JOS
CTCP Kiên Hùng - HNX,KHS
CTCP Xuất khẩu Thủy sản Khánh Hòa - UPCOM,KSE
CTCP Tập đoàn Thủy sản Minh Phú - UPCOM,MPC
CTCP Chế biến Thủy sản Xuất khẩu Ngô Quyền - UPCOM,NGC
CTCP Công nghiệp Thủy sản - UPCOM,SCO
Tổng Công ty Thuỷ sản Việt Nam - UPCOM,SEA
CTCP Phục vụ Mặt đất Sài Gòn - HOSE,SGN
CTCP Nông nghiệp Hùng Hậu - HNX,SJ1
CTCP XNK Thuỷ sản Năm Căn - UPCOM,SNC
CTCP XNK Thuỷ sản Miền Trung - UPCOM,SPD
CTCP Xuất nhập khẩu Thủy sản Hà Nội - UPCOM,SPH
CTCP XNK Thuỷ sản Sài Gòn - UPCOM,SSN
CTCP Thủy sản số 4 - HOSE,TS4
CTCP Vĩnh Hoàn - HSX,VHC
CTCP Đầu tư Việt Việt Nhật - UPCOM,VNH
