Tên doanh nghiệp,Mã cổ phiếu
Cổ phiếu của CTCP Group Bắc Việt,BVG
Cổ phiếu của CTCP Thép Đà Nẵng,DNS
CTCP Thép DANA – Ý,DNY
CTCP Đại Thiên Lộc,DTL
CTCP Hữu Liên Á Châu,HLA
CTCP Kim khí Thành phố Hồ Chí Minh – Vnstee,HMC
Cổ phiếu thép Hòa Phát,HPG
Cổ phiếu thép Hoa Sen,HSG
CTCP gang thép Hà Nội,HSV
CTCP Kim Khí KKC,KKC
CTCP Kim khí Miền Trung,KMT
CTCP Thép Mê Lin,MEL
CTCP Vật tư TKV,MTS
Cổ phiếu thép Nam Kim,NKG
Cổ phiếu Thép Pomina,POM
Cổ phiếu S99 – CTCP,SCI
CTCP Đầu tư Thương mại SMC,SMC
Cổ phiếu của CTCP Chế tạo kết cấu Thép Vneco SSM,SSM
CTCP Thép Thủ Đức,TDS
Cổ phiếu gang thép Thái Nguyên,TIS
Cổ phiếu thép Tiến Lên,TLH
CTCP Thép Nhà Bè – VNSTEEL,TNB
Cổ phiếu của CTCP Thép tấm lá Thống Nhất,TNS
CTCP Cán Thép Thái Trung,TTS
Cổ phiếu tổng công ty thép Việt Nam,TVN
CTCP Thép VICASA – VNSTEEL,VCA
Cổ phiếu của CTCP Lưới thép Bình Tây,VDT
CTCP Đầu tư và Xây dựng Điện Mêca Vneco,VES
Cổ phiếu thép Việt Đức,VGS
Cổ phiếu thép Việt Ý,VIS
