Tên doanh nghiệp,Mã cổ phiếu
CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang - Upcom,AFX
CTCP Xuất Nhập khẩu An Giang - HOSE,AGM
CTCP Rau quả Thực phẩm An Giang - Upcom,ANT
CTCP Chiếu xạ An Phú - HOSE,APC
CTCP Nông sản thực phẩm Quảng Ngãi - Upcom,APF
CTCP Nông nghiệp BAF Việt Nam - HOSE,BAF
CTCP Bibica - HOSE,BBC
CTCP Thực phẩm Bích Chi - HNX,BCF
Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội - HOSE,BHN
CTCP Lương thực Bình Định - Upcom,BLT
CTCP Bột mỳ Vinafood 1 - Upcom,BMV1
CTCP Đầu tư Sản xuất Bảo Ngọc - HNX,BNA
Cty Cổ phần Bia Sài Gòn - Sông Lam - Upcom,BSL
CTCP Đồ hộp Hạ Long - HNX,CAN
CTCP Lâm Nông sản Thực phẩm Yên Bái - HNX,CAP
Cty Cổ phần Thực phẩm Cholimex - Upcom,CMF
CTCP Lương thực Thực phẩm Colusa-Miliket - Upcom,CMN
CTCP Tập đoàn Dabaco Việt Nam - HOSE,DBC
CTCP Lương thực Thành phố Hồ Chí Minh - Upcom,FCS
CTCP Xuất Nhập Khẩu Lương Thực – Thực Phẩm Hà Nội - Upcom,FHN
CTCP Thực phẩm Sao Ta - HOSE,FMC
CTCP GTNfoods - HOSE,GTN
CTCP Bia Hà Nội - Hải Dương - HNX,HAD
CTCP Thương mại Bia Hà Nội - HNX,HAT
CTCP Rượu Hapro - Upcom,HAV
CTCP Bánh kẹo Hải Hà - HNX,HHC
CTCP Nông nghiệp và Thực phẩm Hà Nội – Kinh Bắc - Upcom,HKB
CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai - HOSE,HNG
Cty Cổ phần Thực phẩm Quốc tế - Upcom,IFS
CTCP Tập đoàn KIDO - HSX,KDC
CTCP Đường Kon Tum - HNX,KTS
CTCP Chế biến hàng Xuất khẩu Long An - HSX,LAF
CTCP Mía Đường Lam Sơn - HOSE,LSS
CTCP Tập đoàn Masan - HSX,MSN
CTCP Nafoods Group - HOSE,NAF
CTCP Tập đoàn Pan - HSX,PAN
Cty Cổ phần Đường Quảng Ngãi - Upcom,QNS
Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn - HOSE,SAB
CTCP Lương thực Thực phẩm Safoco - HNX,SAF
CTCP Thành Thành Công - Biên Hòa - HOSE,SBT
CTCP Nước giải khát Chương Dương - HOSE,SCD
CTCP Xuất nhập khẩu Sa Giang - HNX,SGC
CTCP Nông nghiệp Hùng Hậu - HNX,SJ1
CTCP Mía Đường Sơn La - HNX,SLS
CTCP Bia Sài Gòn - Miền Trung - HOSE,SMB
Công ty Cổ phần Dầu Thực vật Tường An - HOSE,TAC
CTCP Nông nghiệp Công nghệ cao Trung An - HSX,TAR
CTCP Bia Hà Nội - Thanh Hóa - HNX,THB
CTCP Vinacafé Biên Hòa - HSX,VCF
CTCP Thực phẩm Lâm Đồng - HNX,VDL
CTCP Dược liệu và Thực phẩm Việt Nam - HNX,VHE
CTCP Lương thực Thực phẩm Vĩnh Long - Upcom,VLF
CTCP Sữa Việt Nam - HSX,VNM
Tổng Công ty Lương thực Miền Nam – CTCP - Upcom,VSF
Cty Cổ phần Việt Nam Kỹ nghệ súc sản - Upcom,VSN
