Tên doanh nghiệp,Mã cổ phiếu
CTCP Mĩ thuật và Truyền thông,ADC
CTCP Clever Group,ADG
CTCP Văn hóa Tân Bình,ALT
CTCP Sách và Thiết bị Bình Định,BDB
CTCP Sách và Thiết bị trường học Đà Nẵng,BED
CTCP Sách – Thiết bị Bình Thuận,BST
CTCP Truyền hình cáp Việt Nam,CAB
CTCP Đầu tư và Phát triển giáo dục Đà Nẵng,DAD
"CTCP Sách Giáo dục tại TP,Đà Nẵng",DAE
Công ty TNHH MTV Sách và Thiết bị trường học tỉnh Đắk Nông,DNB
CTCP Công viên nước Đầm Sen,DSN
CTCP Đầu tư Sao Thăng Long,DST
CTCP Sách Giáo dục tại Thành phố Hà Nội,EBS
CTCP Bản đồ và Tranh ảnh Giáo dục,ECI
CTCP Đầu tư và Phát triển Giáo dục Hà Nội,EID
CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,EPH
CTCP Phát hành sách thành phố Hồ Chí Minh – FAHASA,FHS
CTCP Dịch vụ trực tuyến FPT,FOC
CTCP Sách và Thiết bị trường học Hà Nội,HAB
CTCP Sách Đại học – Dạy nghề,HEV
CTCP in sách giáo khoa Hòa Phát,HTP
CTCP In Tổng hợp Bình Dương,IBD
Công ty TNHH MTV In báo Nghệ An,IBN
CTCP In Hàng không,IHK
CTCP In số 4,IN4
CTCP In và Phát hành biểu mẫu thống kê,IPH
CTCP Sách và Thiết bị Trường học Long An,LBE
CTCP Sách và Thiết bị giáo dục miền Bắc,NBE
CTCP Văn hóa Phương Nam,PNC
CTCP Sách và Thiết bị trường học Quảng Ninh,QST
CTCP đầu tư PV-Inconess,RGC
CTCP In sách giáo khoa TP Hồ Chí Minh,SAP
CTCP Đầu tư và Phát triển giáo dục Phương Nam,SED
CTCP Sách Giáo dục tại thành phố Hồ Chí Minh,SGD
CTCP Khách sạn Sài Gòn,SGH
CTCP Sách và thiết bị giáo dục Miền Nam,SMN
"CTCP Sách và Thiết bị trường học Tp, Hồ Chí Minh",STC
CTCP phát hành sách Thái Nguyên,STH
CTCP Đo đạc và Khoáng sản,SUM
CTCP In Sách Giáo Khoa tại TP Hà Nội,TPH
CTCP Du lịch - Thương mại Tây Ninh,TTT
CTCP Trung tâm hội chợ triển lãm Việt Nam,VEF
CTCP Sách Việt Nam,VNB
CTCP Quảng cáo và Hội chợ thương mại,VNX
CTCP VINAPRINT,VPR
CTCP tập đoàn Yeah1,YEG
